,id,agency,allocation,title,status,PI,phase,study_type,primary_outcome_measure,acronym,start_date,completion_date,primary_completion_date,gender,minimum_age,maximum_age,number_of_arms,enrollment
0,NCT00484263,The Alfred,Randomized,The Long Term Effect of Inhaled Hypertonic Saline (6%) in Patients With Non Cystic Fibrosis Bronchiectasis,Completed,,Phase 3,Interventional,Number of pulmonary exacerbations,,December 2007,October 2009,October 2009,All,18 Years,N/A,1,40
1,NCT00728715,Hospital General de Requena,Randomized,Efficacy of Budesonide-Formoterol in Bronchiectasis,Completed,,N/A,Interventional,Health related quality of life (measured by St Gorge Respiratory Questionnaire),,January 2004,January 2005,January 2005,All,18 Years,80 Years,2,40
2,NCT00749866,University of Edinburgh,Randomized,Long Term Nebulised Gentamicin in Patients With Bronchiectasis,Completed,"Adam T Hill, MBChB MD",Phase 4,Interventional,Reduction in bacterial load,,May 2007,August 2009,August 2009,All,18 Years,70 Years,2,60
3,NCT00816309,NHS Lothian,Randomized,"Is Regular Chest Physiotherapy an Effective Treatment in Severe, Non Cystic Fibrosis Bronchiectasis?",Completed,"Adam T Hill, MBChB MD",Phase 4,Interventional,24 hour sputum volume and assessment of cough severity (Leicester Cough Questionnaire),,October 2007,March 2009,December 2008,All,60 Years,85 Years,2,20
4,NCT00868075,NHS Lothian,Randomized,Pulmonary Rehabilitation in Non Cystic Fibrosis Bronchiectasis,Completed,"Adam T Hill, MD, FRCPE",Phase 4,Interventional,The primary endpoint of this study is improvement in exercise tolerance from an incremental walk test.,,March 2009,August 2011,August 2011,All,18 Years,75 Years,2,27
5,NCT00885521,Bayside Health,Randomized,Exercise Training in Patients With Non-cystic Fibrosis (CF) Bronchiectasis,Completed,"Annemarie L Lee, PhD",Phase 1,Interventional,Incremental Shuttle Walk Test Chronic Respiratory Disease questionnaire,,February 2009,February 2013,February 2013,All,20 Years,80 Years,2,39
6,NCT00889967,Aradigm Corporation,Randomized,"Safety and Efficacy Study of Ciprofloxacin for Inhalation in Patients With Non-Cystic Fibrosis Bronchiectasis ""ORBIT-1""",Completed,"Paul Bruinenberg, MBChB, MBA",Phase 2,Interventional,The primary efficacy endpoint is defined as the mean change in P. aeruginosa density in sputum (log10) CFU/gram of sputum from Baseline to Day 28.,,February 2010,June 2011,April 2011,All,18 Years,80 Years,3,95
7,NCT00930982,Bayer,Randomized,Evaluation of Cipro Inhale in Patients With Non-cystic Fibrosis Bronchiectasis,Completed,Bayer Study Director,Phase 2,Interventional,Change From Baseline in Total Bacterial Load in the Sputum at End of Treatment (Day 29).,,June 2009,September 2010,September 2010,All,18 Years,N/A,2,124
8,NCT01299181,University of Edinburgh,Randomized,A Trial of Atorvastatin as an Anti-Inflammatory Agent in Non-Cystic Fibrosis Bronchiectasis,Completed,"Adam T Hill, MBChB MD",Phase 4,Interventional,The primary endpoint of this study is a reduction in cough at 6 months compared to baseline as measured by the Leicester Cough Questionnaire score.,,November 2010,August 2013,August 2013,All,18 Years,75 Years,2,60
9,NCT01299194,University of Edinburgh,Randomized,Atorvastatin in Bronchiectasis in Patients With Pseudomonas Aeruginosa,Completed,"Adam T Hill, MBChB MD",Phase 4,Interventional,The primary endpoint of this study is a reduction in cough at 3 months compared to baseline as measured by the Leicester Cough Questionnaire score.,,November 2010,May 2017,June 2015,All,18 Years,80 Years,2,32
10,NCT01313624,Gilead Sciences,Randomized,Safety and Effectiveness of AZLI (an Inhaled Antibiotic) in Adults With Non-Cystic Fibrosis Bronchiectasis,Completed,"Alan Barker, MD",Phase 3,Interventional,Change in QOL-B Respiratory Symptoms Score at Day 28,AIR-BX1,April 2011,June 2013,March 2013,All,18 Years,N/A,2,266
11,NCT01314716,Gilead Sciences,Randomized,Safety and Effectiveness of AZLI (an Inhaled Antibiotic) in Adults With Non-Cystic Fibrosis Bronchiectasis,Completed,"Anne O'Donnell, MD",Phase 3,Interventional,Change in QOL-B Respiratory Symptoms Score at Day 28,AIR-BX2,April 2011,July 2013,April 2013,All,18 Years,N/A,2,274
12,NCT01463371,Instituto de Investigacion Sanitaria La Fe,Randomized,Effects of Azithromycin on Airway Oxidative Stress Markers in Patients With Bronchiectasis,Completed,"Alfredo De Diego Damia, MD",N/A,Interventional,"Changes in Nitric oxide,8-isoprostane, pH, nitrites (NO2) and nitrates(NO3) in exhaled breath condensate.",,October 2006,September 2007,April 2007,All,16 Years,80 Years,2,30
13,NCT01515007,Aradigm Corporation,Randomized,Phase 3 Study With Ciprofloxacin Dispersion for Inhalation in Non-CF Bronchiectasis (ORBIT-3),Completed,,Phase 3,Interventional,Time to first exacerbation,,"March 31, 2014",October 2016,"August 17, 2016",All,18 Years,N/A,2,278
14,NCT01684683,The First Affiliated Hospital of Guangzhou Medical University,Randomized,The Effect of Theophylline in the Treatment of Bronchiectasis,Completed,,Phase 4,Interventional,Scores of the St.George's Respiratory Questionnaire,,November 2012,September 2014,April 2014,All,18 Years,70 Years,2,100
15,NCT01764841,Bayer,Randomized,Ciprofloxacin Dry Powder for Inhalation in Non-cystic Fibrosis Bronchiectasis (Non-CF BE),Completed,Bayer Study Director,Phase 3,Interventional,Time to First Exacerbation Event Within 48 Weeks,RESPIRE 1,"May 2, 2013","March 9, 2016","March 9, 2016",All,18 Years,N/A,4,416
16,NCT01792427,Universitaire Ziekenhuizen Leuven,,Mortality in Non-cystic Fibrosis Bronchiectasis,Completed,"Pieter Goeminne, MD",,Observational,overall survival,,June 2006,December 2012,October 2012,All,18 Years,N/A,,253
17,NCT01792440,Universitaire Ziekenhuizen Leuven,,The Sputum Colour Chart as a Predictor of Lung Inflammation and Proteolysis in Non-cystic Fibrosis Bronchiectasis,Completed,"Pieter Goeminne, MD",,Observational,Assess predictive value of sputum colour chart to evaluate airway inflammation,,September 2009,December 2012,July 2010,All,18 Years,N/A,,80
18,NCT01801657,The First Affiliated Hospital of Guangzhou Medical University,,The Role of Viral Infection in Acute Exacerbations of Non-cystic Fibrosis Bronchiectasis in Adults,Unknown status,,,Observational,The prevalence of respiratory virus infection in adults with bronchiectasis during a pulmonary exacerbation and when clinically stable.,,February 2013,April 2014,April 2014,All,18 Years,80 Years,,100
19,NCT01818544,Bayer,Randomized,Safety and Efficacy of Oral BAY85-8501 in Patients With Non-CF (Cystic Fibrosis) Bronchiectasis,Completed,Bayer Study Director,Phase 2,Interventional,,,April 2013,June 2014,June 2014,All,18 Years,N/A,2,94
20,NCT01854788,Hospital Clinic of Barcelona,Randomized,3 Airway Clearance Techniques in Non Cystic Fibrosis Bronchiectasis,Completed,,N/A,Interventional,,,September 2010,August 2012,June 2012,All,18 Years,N/A,3,31
21,NCT01906047,Universitaire Ziekenhuizen Leuven,,Impact of Chronic Air Pollution on Non-cystic Fibrosis Bronchiectasis,Completed,,,Observational [Patient Registry],Death,,June 2006,April 2013,October 2012,All,18 Years,65 Years,,189
22,NCT02035488,University Medical Center Groningen,N/A,Pharmacokinetic Evaluation and Tolerability of Dry Powder Tobramycin by a Novel Device in Patients With Non Cystic Fibrosis Bronchiectasis,Completed,"Huib Kerstjens, MD, PhD",Phase 1/Phase 2,Interventional,,,October 2013,December 2014,December 2014,All,18 Years,N/A,1,8
23,NCT02081963,Qilu Hospital of Shandong University,Randomized,Combined Administration of Nebulized Amikacin in Patients With Acute Exacerbation of Non-Cystic Fibrosis Bronchiectasis,Completed,"Yu Li, Professor",Phase 4,Interventional,Bacterial Clearance Rate of Sputum,,March 2014,December 2016,March 2016,All,18 Years,80 Years,2,178
24,NCT02088216,Qilu Hospital of Shandong University,Randomized,"Effect of Long-term, High-dose N-acetylcysteine on Exacerbations of Bronchiectaisis",Completed,"Yu Li, Professor",N/A,Interventional,Median Number of Exacerbations,BENE,"April 1, 2014","March 30, 2018","December 1, 2017",All,18 Years,80 Years,2,161
25,NCT02096315,Polyphor Ltd.,N/A,"Safety, Efficacy and PK/PD of POL7080 in Patients With Exacerbation of Non-cystic Fibrosis Bronchiectasis.",Terminated,,Phase 2,Interventional,Sputum bacterial clearance,,December 2013,November 2015,November 2015,All,18 Years,79 Years,1,20
26,NCT02104245,Aradigm Corporation,Randomized,Phase 3 Study With Ciprofloxacin Dispersion for Inhalation in Non-CF Bronchiectasis (ORBIT-4),Completed,,Phase 3,Interventional,Time to first pulmonary exacerbation (from baseline),,"May 28, 2014",October 2016,"August 11, 2016",All,18 Years,N/A,2,304
27,NCT02106832,Bayer,Randomized,Ciprofloxacin Dry Powder for Inhalation (DPI) in Non-cystic Fibrosis Bronchiectasis (Non-CF BE),Completed,Bayer Study Director,Phase 3,Interventional,,RESPIRE 2,"April 30, 2014","October 19, 2016","September 13, 2016",All,18 Years,N/A,4,521
28,NCT02163642,Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,,Role of Innate Immunity in Non-Cystic Fibrosis Bronchiectasis,Unknown status,"Oriol Sibila, MD PhD",,Observational,Change from baseline in sputum mucin levels at 12 months,,April 2014,April 2018,April 2018,All,18 Years,N/A,,50
29,NCT02324855,Universidad San Jorge,Randomized,Long-term Airway Clearance Therapy in Non-cystic Fibrosis Bronchiectasis,Completed,"Beatriz Herrero, Msc",N/A,Interventional,Cough severity (Auto-administered questionnaire: Leicester Cough Questionnaire),,October 2015,June 2020,June 2020,All,18 Years,N/A,2,26
30,NCT02392663,Hospital Clinic of Barcelona,Randomized,Sputum Clearance Effects of Hypertonic Saline in Non-cystic Fibrosis Bronchiectasis,Completed,"Eva Polverino, Dr.",N/A,Interventional,Wet sputum production,,March 2015,January 2016,December 2015,All,18 Years,N/A,3,24
31,NCT02411981,Cliniques universitaires Saint-Luc- Université Catholique de Louvain,N/A,Effects of Chest Physiotherapy (CPT) on Lung Clearance Index (LCI) in Non Cystic Fibrosis (CF) Bronchiectasis,Completed,,N/A,Interventional,Change of Lung Clearance Index (LCI),,April 2015,February 2016,October 2015,All,18 Years,N/A,1,24
32,NCT02507843,"Shanghai Pulmonary Hospital, Shanghai, China",Randomized,Vitamin D as an Adjunctive Treatment in Patients With Non-Cystic Fibrosis Bronchiectasis,Unknown status,JinFu Xu,Phase 4,Interventional,Time to first acute exacerbation,VIDB,January 2015,June 2017,December 2016,All,18 Years,N/A,2,200
33,NCT02531984,Assistance Publique Hopitaux De Marseille,Randomized,The Efficacy of Azithromycin in Treating Children With Non Cystic Fibrosis Bronchiectasis,Unknown status,Urielle DESALBRES,Phase 3,Interventional,Time of onset of the first respiratory exacerbation in the two groups of patients: those who continued treatment with azithromycin and those who stopped the treatment,AZI-STOP,August 2015,August 2018,August 2017,All,3 Years,17 Years,2,100
34,NCT02563197,Bayer,N/A,Inhalation Flow Rate-study,Completed,Bayer Study Director,Phase 1,Interventional,Peak inspiratory flow (L/min),,"November 23, 2015","April 29, 2016","February 17, 2016",All,18 Years,N/A,1,33
35,NCT02614300,Hospital Clinic of Barcelona,Randomized,The Role of Pulmonary Rehabilitation and Airways Clearance Techniques in the Multidisciplinary Management of Non CF Bronchiectasis,Unknown status,,N/A,Interventional,Change from Baseline Exercise tolerance capacity measured as the distance walked in meters during the shuttle test at constant speed (ESWT) at 12 weeks.,,November 2015,,December 2017,All,50 Years,80 Years,4,120
36,NCT02625246,Marilyn Glassberg,Non-Randomized,Safety and Potential Efficacy of Human Mesenchymal Stem Cells in Non-Cystic Fibrosis Bronchiectasis,Completed,"Glassberg K Marilyn, MD",Phase 1,Interventional,Number of Participant with treatment emergent serious adverse events,CELEB,"February 4, 2016","May 15, 2019","May 15, 2019",All,30 Years,87 Years,2,6
37,NCT02657473,Medical Center Alkmaar,Randomized,Inhaled Nebulized Tobramycin in Non-cystic Fibrosis Bronchiectasis,Completed,"Wim G. Boersma, Dr.MD",Phase 2/Phase 3,Interventional,Number of exacerbations,BATTLE,"August 13, 2016","December 13, 2019","December 13, 2019",All,18 Years,N/A,2,58
38,NCT02661438,Bayer,N/A,Summative Usability Study of Ciprofloxacin Dry Powder for Inhalation Using Placebo,Completed,Bayer Study Director,N/A,Interventional,,,"January 12, 2016","March 17, 2016","March 17, 2016",All,40 Years,N/A,1,46
39,NCT02712983,Novartis Pharmaceuticals,Randomized,"Dose-finding Study to Assess the Efficacy, Safety and Tolerability of Tobramycin Inhalation Powder in Patients With Non-Cystic Fibrosis Bronchiectasis and Pulmonary P. Aeruginosa Infection",Completed,Novartis Pharma,Phase 2,Interventional,Change From Baseline to Day 29 in Pseudomonas Aeruginosa (P. Aeruginosa) Density in Sputum (log10 CFUs),iBEST-1,"February 8, 2017","March 20, 2019","March 20, 2019",All,18 Years,N/A,9,107
40,NCT02782312,"Shanghai Pulmonary Hospital, Shanghai, China",Randomized,Salmeterol-Fluticasone Combined Inhaled Therapy for Non-cystic Fibrosis Bronchiectasis,Completed,Jin-Fu Xu,Phase 4,Interventional,,,June 2011,June 2013,June 2012,All,18 Years,N/A,2,120
41,NCT02823587,University of Sao Paulo,Randomized,Pulmonary Rehabilitation in Non-Cystic Fibrosis Bronchiectasis,Unknown status,"Ada C Gastaldi, PhD",N/A,Interventional,Mucociliary transport in vivo,,July 2016,December 2019,July 2018,All,18 Years,60 Years,4,60
42,NCT02883101,"All India Institute of Medical Sciences, New Delhi",Randomized,The Effects of Pulmonary Rehabilitation in Patients With Non-cystic Fibrosis Bronchiectasis,Completed,,N/A,Interventional,Exercise capacity,,June 2015,December 2016,October 2016,All,18 Years,N/A,2,60
43,NCT03056326,Chiesi Farmaceutici S.p.A.,Randomized,"A Study to Investigate Safety, Tolerability and Pharmacokinetics of Single and Repeat Doses of CHF6333 in Healthy Subjects",Completed,Frédéric Vanhoutte,Phase 1,Interventional,,CHF6333 FIH,November 2016,July 2017,July 2017,Male,18 Years,55 Years,2,72
44,NCT03093974,Zambon SpA,Randomized,Long Term Efficacy and Safety of Inhaled Colistimethate Sodium in Bronchiectasis Subjects With Chronic Pseudomonas Aeruginosa Infection.,Completed,"Dearbhla Hull, MD",Phase 3,Interventional,Annualized Pulmonary Exacerbation rate,PROMIS-I,"June 6, 2017","April 9, 2021","April 9, 2021",All,18 Years,N/A,2,377
45,NCT03147651,Rambam Health Care Campus,,Exercise Capacity in Patients With Cystic Fibrosis vs. Non-cystic Fibrosis Bronchiectasis,Unknown status,"Lea Bentur, Prof.",,Observational,Oxygen Uptake (VO2),,October 2015,December 2017,September 2017,All,7 Years,N/A,,119
46,NCT03218917,Insmed Incorporated,Randomized,Assessment of INS1007 in Subjects With Non-Cystic Fibrosis Bronchiectasis,Completed,"Carlos Fernandez, MD",Phase 2,Interventional,Time to first pulmonary exacerbation,,"December 1, 2017","December 12, 2019","December 12, 2019",All,18 Years,85 Years,3,256
47,NCT03428334,The University of Hong Kong,N/A,Roflumilast in Non-CF Bronchiectasis Study,Completed,"James CM Ho, MD",Phase 2,Interventional,sputum leukocyte density,,"May 10, 2018","August 31, 2019","August 31, 2019",All,18 Years,N/A,1,20
48,NCT03460704,Zambon SpA,Randomized,Trial in Non-cystic Fibrosis Bronchiectasis Patients With Chronic Lung Infections Treated With Colistimethate Sodium (PROMIS II),Completed,"Dearbhla Hull, MD",Phase 3,Interventional,Annualized Pulmonary Exacerbation rate,,"January 29, 2018","March 15, 2022","March 15, 2022",All,18 Years,90 Years,2,287
49,NCT03818646,Papworth Hospital NHS Foundation Trust,,Functional Respiratory Imaging in Bronchiectasis,Unknown status,"Ian Smith, MD",,Observational,,FRIBE,January 2019,April 2019,April 2019,All,18 Years,80 Years,,10
50,NCT03988816,University of Sao Paulo General Hospital,Randomized,"Effect of Roflumilast on Quality of Life, Lung Function and Mucus Properties in Patients With Bronchiectasis",Unknown status,"Rodrigo A Athanazio, MD, PhD",Phase 2,Interventional,Quality of life questionnaire,,"December 6, 2019",December 2020,December 2020,All,18 Years,N/A,2,30
51,NCT04010799,Chiesi Farmaceutici S.p.A.,Randomized,"A Clinical Study to Investigate Safety, Tolerability and Distribution of CHF 6333 After One or After Repeated Inhalation in Patients With Cystic Fibrosis (CF) and in Patients With Non Cystic Fibrosis (NCFB) Bronchiectasis",Completed,,Phase 1,Interventional,,,"May 27, 2019","March 8, 2021","March 8, 2021",All,18 Years,N/A,2,68
52,NCT04017312,Hill-Rom,Randomized,A Pilot Study to Evaluate the Use of the Vest® System for Treatment of Bronchiectasis Patients in the Home Setting,Unknown status,"Mark Jennings, MD",N/A,Interventional,Frequency of acute exacerbations of bronchiectasis,,"August 23, 2019",November 2020,November 2020,All,18 Years,80 Years,2,70
53,NCT04090294,Assiut University,N/A,Assessment of Early Outcomes of Roflumilast in Patients With Non Cystic Fibrosis Bronchiectasis,Unknown status,"Ahmad Shaddad, Lecturer",Early Phase 1,Interventional,,,"October 1, 2019",November 2020,September 2020,All,18 Years,75 Years,1,35
54,NCT04122547,Prince of Songkla University,Randomized,Efficacy of Roflumilast on Exacerbations in Patients With Non-cystic Fibrosis Bronchiectasis,Completed,"Kanung Saejiam, MS",Phase 3,Interventional,acute deterioration of of bronchiectasis symptoms,,January 2015,December 2015,December 2015,All,18 Years,80 Years,2,40
55,NCT04170114,Bezmialem Vakif University,Randomized,Comparison of the Efficacy of Comprehensive Respiratory Physiotherapy in Children With Cystic Fibrosis and Non-Cystic Fibrosis Bronchiectasis,Completed,,N/A,Interventional,,,"January 1, 2020","November 1, 2020","November 1, 2020",All,6 Years,18 Years,2,60
56,NCT04278040,"Federal State Budgetary Institution, Pulmonology Scientific Research Institute",N/A,Inhalations of Ultra-low Doses of Melphalan for the Treatment of Non-cystic Fibrosis Bronchiectasis,Unknown status,"Kirill Zykov, Prof",Phase 2,Interventional,Frequency of drug-related side effects.,SEADIB1,"June 20, 2018","December 30, 2021","December 1, 2021",All,18 Years,70 Years,1,7
57,NCT04322929,The University of Hong Kong,N/A,Roflumilast in Non-CF Bronchiectasis Study (2019),Recruiting,,Phase 2,Interventional,24-hour sputum volume,,"November 12, 2020","June 30, 2022","February 28, 2022",All,18 Years,N/A,1,27
58,NCT04509661,"Shanghai Pulmonary Hospital, Shanghai, China",Randomized,Efficacy and Safety of Inhaled Bronchodilator in Non-CF Bronchiectasis With Airflow Limitation,Not yet recruiting,"Jin-fu Xu, MD",Phase 4,Interventional,Actue exacerbation,,"September 1, 2020","June 1, 2024","June 1, 2024",All,18 Years,N/A,2,200
59,NCT04538859,Chinese University of Hong Kong,,A Prospective Study of Factors Related to Exacerbation and Mortality of Non-cystic Fibrosis Bronchiectasis in Hong Kong,Recruiting,,,Observational [Patient Registry],Number of bronchiectasis exacerbation,,"August 30, 2020","August 29, 2027","August 29, 2027",All,18 Years,N/A,,400
60,NCT04594369,Insmed Incorporated,Randomized,"A Study to Assess the Efficacy, Safety, and Tolerability of Brensocatib in Participants With Non-Cystic Fibrosis Bronchiectasis",Recruiting,,Phase 3,Interventional,Rate of Adjudicated Pulmonary Exacerbations (PEs),ASPEN,"December 1, 2020","March 22, 2024","March 22, 2024",All,12 Years,85 Years,3,1620
61,NCT04643587,CSL Behring,Randomized,Study to Assess CSL787 in Non-cystic Fibrosis Bronchiectasis (NCFB),Recruiting,Study Director,Phase 1,Interventional,,,"December 7, 2020",November 2022,November 2022,All,18 Years,N/A,8,64
62,NCT04656275,Boehringer Ingelheim,Randomized,A Study in Patients With Non-cystic Fibrosis Bronchiectasis to Test How Well Different Doses of BI 1323495 Are Tolerated and How BI 1323495 Affects Biomarkers of Inflammation,Terminated,,Phase 1,Interventional,Occurrence of drug-related adverse events,,"March 4, 2021","December 20, 2021","December 20, 2021",All,18 Years,80 Years,3,7
63,NCT04658277,Chinese University of Hong Kong,Randomized,Effect of Long Term Clarithromycin for Prevention of Exacerbations in Non-cystic Fibrosis Bronchiectasis in Asian Populations,Recruiting,,N/A,Interventional,number of infectious exacerbations,,"October 1, 2020","September 30, 2023","September 30, 2023",All,50 Years,N/A,2,40
64,NCT04884308,Johns Hopkins University,Non-Randomized,Bacille Calmette-Guerin (BCG) Vaccine for Immune Protection Against Infections,Recruiting,"Noah Lecthzin, MD, MHS",Phase 2,Interventional,BCG Uptake,,"April 28, 2021","June 30, 2023","June 30, 2023",All,18 Years,65 Years,3,180
65,NCT05006573,AstraZeneca,Randomized,Efficacy and Safety of Benralizumab in Patients With Non-cystic Fibrosis Bronchiectasis,Recruiting,"James D. Chalmers, MD",Phase 3,Interventional,Annualised exacerbation rate,MAHALE,"July 21, 2021","January 5, 2026","June 10, 2024",All,18 Years,130 Years,2,420
66,NCT05344508,Insmed Incorporated,,An Expanded Access Study to Assess Brensocatib for Participants With Non-Cystic Fibrosis Bronchiectasis,Available,,,Expanded Access,,,,,,All,18 Years,85 Years,,
67,NCT05369624,Hospital Universitario Virgen Macarena,Randomized,Exercise Capacity in Non-cystic Fibrosis Bronchiectasis After a Pulmonary Rehabilitation Home-based Program,Completed,"Virginia Almadana, PhD",N/A,Interventional,"Exercise capacity of Non-cystic Fibrosis Bronchiectasis ( Non-CF bronchiectasis) after pulmonary rehabilitation home-based program (PRHP). Change in VO2 (oxygen consumption, ml/min)",,"May 8, 2018","March 14, 2020","March 14, 2019",All,18 Years,N/A,2,34
